varied_parameter,varied_value,method,scenario,size,success_rate,avg_return,avg_steps_on_success,prep_time_sec,eval_time_sec,total_time_sec,ql_episodes,ql_alpha,ql_gamma,ql_epsilon_start,ql_epsilon_min,ql_epsilon_decay,vi_gamma,vi_theta,csp_fallback
ql_epsilon_min,0.1,QLearning,hard,14,0.0,-59.333333333333336,,0.17526012499001808,0.011970749997999519,0.1872308749880176,1500,0.2,0.95,1.0,0.1,0.995,0.95,1e-06,True
ql_epsilon_min,0.2,QLearning,hard,14,0.0,-57.766666666666666,,0.17409616700024344,0.01201408299675677,0.1861102499970002,1500,0.2,0.95,1.0,0.2,0.995,0.95,1e-06,True
ql_epsilon_min,0.01,QLearning,medium,12,1.0,-1.6583333333333334,27.425,0.10897775000194088,0.006185792008182034,0.11516354201012291,1500,0.2,0.95,1.0,0.01,0.995,0.95,1e-06,True
ql_epsilon_min,0.02,QLearning,medium,12,1.0,-1.7833333333333334,27.383333333333333,0.11011587499524467,0.006229749997146428,0.1163456249923911,1500,0.2,0.95,1.0,0.02,0.995,0.95,1e-06,True
ql_epsilon_min,0.05,QLearning,medium,12,1.0,-1.925,27.658333333333335,0.11962625000160187,0.0074103749939240515,0.12703662499552593,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_min,0.1,QLearning,medium,12,1.0,-1.9333333333333333,27.733333333333334,0.1140523329959251,0.006261375005124137,0.12031370800104924,1500,0.2,0.95,1.0,0.1,0.995,0.95,1e-06,True
ql_epsilon_min,0.2,QLearning,medium,12,1.0,-2.25,27.983333333333334,0.12199054200027604,0.00628891600354109,0.12827945800381713,1500,0.2,0.95,1.0,0.2,0.995,0.95,1e-06,True
ql_epsilon_start,0.2,QLearning,easy,10,1.0,6.833333333333333,19.033333333333335,0.08055262500420213,0.004624416993465275,0.0851770419976674,1500,0.2,0.95,0.2,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.4,QLearning,easy,10,1.0,6.616666666666666,19.116666666666667,0.07863066699064802,0.004536207998171449,0.08316687498881947,1500,0.2,0.95,0.4,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.6,QLearning,easy,10,1.0,6.641666666666667,19.125,0.0820529170014197,0.00491150000016205,0.08696441700158175,1500,0.2,0.95,0.6,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.8,QLearning,easy,10,1.0,6.458333333333333,19.241666666666667,0.09173654198821168,0.0048576250119367614,0.09659416700014845,1500,0.2,0.95,0.8,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,1.0,QLearning,easy,10,1.0,6.708333333333333,18.991666666666667,0.08536412499961443,0.0049852500087581575,0.09034937500837259,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.2,QLearning,hard,14,0.0,-56.266666666666666,,0.1818554170022253,0.01187591599591542,0.19373133299814072,1500,0.2,0.95,0.2,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.4,QLearning,hard,14,0.0,-56.2,,0.19960145799268503,0.012299249996431172,0.2119007079891162,1500,0.2,0.95,0.4,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.6,QLearning,hard,14,0.0,-58.233333333333334,,0.1786500000016531,0.011988416998065077,0.19063841699971817,1500,0.2,0.95,0.6,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.8,QLearning,hard,14,0.0,-57.7,,0.18496670800959691,0.012390333009534515,0.19735704101913143,1500,0.2,0.95,0.8,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,1.0,QLearning,hard,14,0.0,-57.233333333333334,,0.18112399999517947,0.013809374999254942,0.19493337499443442,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.2,QLearning,medium,12,1.0,-1.8166666666666667,27.716666666666665,0.1159890419949079,0.00643712499004323,0.12242616698495112,1500,0.2,0.95,0.2,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.4,QLearning,medium,12,1.0,-1.2416666666666667,26.975,0.1136576670105569,0.006181083008414134,0.11983875001897104,1500,0.2,0.95,0.4,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.6,QLearning,medium,12,0.9916666666666667,-1.4583333333333333,26.764705882352942,0.12009654099529143,0.006575749997864477,0.1266722909931559,1500,0.2,0.95,0.6,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,0.8,QLearning,medium,12,1.0,-1.8916666666666666,26.991666666666667,0.11160837499483023,0.006646875001024455,0.11825524999585468,1500,0.2,0.95,0.8,0.05,0.995,0.95,1e-06,True
ql_epsilon_start,1.0,QLearning,medium,12,1.0,-1.15,26.95,0.11848941700009163,0.011116624998976476,0.1296060419990681,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.85,QLearning,easy,10,1.0,6.733333333333333,18.966666666666665,0.08117270799994003,0.004534916995908134,0.08570762499584816,1500,0.2,0.85,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.9,QLearning,easy,10,1.0,6.6,19.033333333333335,0.08011537499260157,0.00453429100161884,0.08464966599422041,1500,0.2,0.9,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.95,QLearning,easy,10,1.0,6.708333333333333,19.058333333333334,0.07861354200576898,0.004541499991319142,0.08315504199708812,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.98,QLearning,easy,10,1.0,6.825,19.041666666666668,0.07926454099651892,0.004501624993281439,0.08376616598980036,1500,0.2,0.98,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.995,QLearning,easy,10,1.0,6.625,19.108333333333334,0.08533666600123979,0.00469316600356251,0.0900298320048023,1500,0.2,0.995,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.85,QLearning,hard,14,0.0,-56.36666666666667,,0.1764732909941813,0.012089374999050051,0.18856266599323135,1500,0.2,0.85,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.9,QLearning,hard,14,0.0,-56.0,,0.17590395899605937,0.011981874995399266,0.18788583399145864,1500,0.2,0.9,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.95,QLearning,hard,14,0.0,-56.8,,0.1758491660002619,0.011940915996092372,0.18779008199635427,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.98,QLearning,hard,14,0.0,-59.7,,0.18230283301090822,0.01298737499746494,0.19529020800837316,1500,0.2,0.98,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.995,QLearning,hard,14,0.0,-62.266666666666666,,0.1893075829866575,0.013093625006149523,0.20240120799280703,1500,0.2,0.995,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.85,QLearning,medium,12,1.0,-2.283333333333333,28.016666666666666,0.11821804200008046,0.006314375001238659,0.12453241700131912,1500,0.2,0.85,1.0,0.05,0.995,0.95,1e-06,True
